time,CHN1,CHN2
 2.700000e-05,  6.387515e-03,  2.740375e-03
 2.705000e-05,  5.825015e-03, -3.509625e-03
 2.710000e-05,  5.887515e-03, -3.509625e-03
 2.715000e-05,  6.575015e-03,  3.052875e-03
 2.720000e-05,  6.012515e-03, -3.509625e-03
 2.725000e-05,  6.637515e-03,  3.990375e-03
 2.730000e-05,  6.012515e-03, -2.884625e-03
 2.735000e-05,  6.637515e-03,  3.677875e-03
 2.740000e-05,  6.075015e-03,  3.677875e-03
 2.745000e-05,  6.575015e-03, -2.884625e-03
 2.750000e-05,  6.575015e-03, -2.572125e-03
 2.755000e-05,  6.075015e-03,  4.615375e-03
 2.760000e-05,  6.575015e-03, -1.947125e-03
 2.765000e-05,  5.887515e-03,  4.927875e-03
 2.770000e-05,  6.512515e-03,  5.240375e-03
 2.775000e-05,  5.887515e-03, -1.634625e-03
 2.780000e-05,  6.512515e-03,  4.927875e-03
 2.785000e-05,  5.825015e-03, -1.322125e-03
 2.790000e-05,  6.262515e-03, -1.009625e-03
 2.795000e-05,  5.637515e-03,  4.615375e-03
 2.800000e-05,  5.637515e-03, -2.259625e-03
 2.805000e-05,  6.262515e-03,  5.552875e-03
 2.810000e-05,  5.387515e-03,  5.240375e-03
 2.815000e-05,  6.137515e-03, -1.009625e-03
 2.820000e-05,  5.262515e-03,  6.802875e-03
 2.825000e-05,  5.825015e-03, -1.322125e-03
 2.830000e-05,  5.075015e-03,  5.552875e-03
 2.835000e-05,  5.700015e-03, -1.322125e-03
 2.840000e-05,  5.450015e-03,  6.490375e-03
 2.845000e-05,  4.887515e-03, -3.846250e-04
 2.850000e-05,  5.450015e-03, -1.009625e-03
 2.855000e-05,  4.700015e-03,  7.115375e-03
 2.860000e-05,  5.075015e-03,  6.177875e-03
 2.865000e-05,  4.450015e-03, -3.846250e-04
 2.870000e-05,  4.825015e-03,  7.740375e-03
 2.875000e-05,  4.200015e-03,  5.528750e-04
 2.880000e-05,  4.512515e-03,  1.177875e-03
 2.885000e-05,  4.012515e-03,  7.740375e-03
 2.890000e-05,  4.325015e-03, -7.212500e-05
 2.895000e-05,  3.637515e-03,  8.052875e-03
 2.900000e-05,  4.137515e-03,  5.865375e-03
 2.905000e-05,  3.262515e-03,  1.177875e-03
 2.910000e-05,  3.825015e-03,  6.802875e-03
 2.915000e-05,  3.200015e-03,  1.177875e-03
 2.920000e-05,  3.575015e-03,  8.653750e-04
 2.925000e-05,  2.825015e-03,  6.802875e-03
 2.930000e-05,  2.762515e-03,  7.115375e-03
 2.935000e-05,  3.262515e-03,  2.403750e-04
 2.940000e-05,  2.387515e-03,  1.177875e-03
 2.945000e-05,  2.950015e-03,  7.740375e-03
 2.950000e-05,  2.637515e-03,  8.677875e-03
 2.955000e-05,  2.137515e-03,  1.490375e-03
 2.960000e-05,  2.450015e-03,  7.427875e-03
 2.965000e-05,  1.762515e-03,  1.490375e-03
 2.970000e-05,  2.137515e-03,  2.403750e-04
 2.975000e-05,  1.262515e-03,  7.740375e-03
 2.980000e-05,  1.950015e-03,  8.052875e-03
 2.985000e-05,  1.137515e-03, -3.846250e-04
 2.990000e-05,  1.450015e-03,  7.740375e-03
 2.995000e-05,  9.500150e-04,  8.653750e-04
 3.000000e-05,  1.262515e-03,  8.653750e-04
 3.005000e-05,  5.125150e-04,  8.677875e-03
 3.010000e-05,  8.250150e-04,  1.490375e-03
 3.015000e-05,  2.625150e-04,  7.115375e-03
 3.020000e-05,  6.375150e-04,  7.427875e-03
 3.025000e-05, -4.998500e-05,  5.528750e-04
 3.030000e-05,  3.250150e-04,  6.802875e-03
 3.035000e-05, -3.624850e-04,  2.403750e-04
 3.040000e-05, -4.998500e-05,  8.653750e-04
 3.045000e-05, -6.124850e-04,  7.427875e-03
 3.050000e-05, -2.374850e-04,  5.528750e-04
