X,Y
 2.325015e-03, -5.697125e-03
 2.825015e-03,  2.403750e-04
 2.575015e-03, -7.212500e-05
 3.325015e-03, -6.322125e-03
 2.762515e-03, -3.846250e-04
 3.575015e-03, -6.009625e-03
 3.075015e-03,  1.177875e-03
 3.887515e-03, -6.009625e-03
 3.450015e-03,  5.528750e-04
 4.137515e-03, -6.634625e-03
 3.825015e-03, -6.634625e-03
 4.387515e-03, -6.971250e-04
 4.012515e-03, -6.322125e-03
 4.575015e-03,  2.403750e-04
 4.387515e-03, -7.572125e-03
 4.825015e-03,  5.528750e-04
 4.450015e-03, -3.846250e-04
 5.137515e-03, -6.634625e-03
 4.700015e-03, -6.947125e-03
 5.512515e-03,  8.653750e-04
 4.950015e-03, -6.009625e-03
 5.450015e-03, -3.846250e-04
 5.137515e-03, -6.947125e-03
 5.825015e-03, -3.846250e-04
 5.262515e-03, -6.322125e-03
 6.075015e-03,  2.115375e-03
 5.575015e-03,  5.528750e-04
 6.137515e-03, -5.072125e-03
 5.637515e-03,  1.177875e-03
 6.200015e-03, -6.009625e-03
 5.762515e-03,  1.177875e-03
 6.325015e-03, -4.447125e-03
 5.887515e-03, -5.072125e-03
 6.450015e-03,  1.177875e-03
 6.012515e-03, -6.009625e-03
 6.450015e-03,  1.802875e-03
 6.512515e-03, -4.134625e-03
 6.075015e-03,  8.653750e-04
 6.575015e-03,  2.115375e-03
 6.075015e-03, -4.447125e-03
 6.075015e-03, -5.072125e-03
 6.637515e-03,  1.490375e-03
 6.575015e-03,  2.115375e-03
 5.950015e-03, -4.134625e-03
 6.450015e-03, -3.509625e-03
 6.012515e-03,  2.427875e-03
 6.450015e-03, -4.759625e-03
 5.825015e-03,  3.052875e-03
 6.325015e-03, -3.822125e-03
 5.700015e-03,  1.490375e-03
 6.262515e-03,  2.427875e-03
 5.700015e-03, -3.197125e-03
 6.012515e-03,  3.365375e-03
 5.450015e-03, -3.509625e-03
 5.950015e-03, -2.884625e-03
 5.325015e-03,  3.677875e-03
 5.762515e-03, -2.572125e-03
 5.075015e-03,  2.740375e-03
 5.512515e-03, -2.259625e-03
 4.887515e-03,  3.365375e-03
 5.325015e-03, -2.572125e-03
 4.575015e-03,  3.677875e-03
 4.512515e-03, -2.572125e-03
 5.075015e-03,  3.677875e-03
 4.825015e-03,  3.677875e-03
 4.262515e-03, -1.634625e-03
 4.700015e-03,  4.302875e-03
 4.012515e-03, -1.634625e-03
 4.387515e-03, -1.322125e-03
 3.700015e-03,  4.615375e-03
 4.200015e-03, -1.322125e-03
 3.575015e-03,  5.552875e-03
 3.825015e-03,  5.240375e-03
 3.262515e-03, -1.322125e-03
 3.575015e-03, -1.009625e-03
 2.887515e-03,  4.927875e-03
 3.325015e-03,  4.927875e-03
 2.637515e-03, -1.322125e-03
 3.075015e-03, -6.971250e-04
 2.325015e-03,  6.177875e-03
 2.762515e-03,  5.240375e-03
 2.137515e-03, -1.009625e-03
 2.450015e-03, -6.971250e-04
 1.887515e-03,  6.177875e-03
 2.262515e-03, -7.212500e-05
 1.575015e-03,  6.177875e-03
 1.825015e-03,  6.490375e-03
 1.325015e-03,  2.403750e-04
 1.575015e-03,  7.427875e-03
 9.500150e-04,  2.403750e-04
 1.262515e-03,  2.403750e-04
 4.500150e-04,  6.177875e-03
 1.012515e-03,  2.403750e-04
 2.625150e-04,  7.115375e-03
 6.375150e-04,  5.528750e-04
 7.501500e-05,  7.115375e-03
 3.250150e-04,  7.427875e-03
-2.374850e-04, -7.212500e-05
-4.998500e-05,  7.427875e-03
-6.749850e-04,  5.528750e-04
-2.999850e-04,  5.528750e-04
-9.249850e-04,  6.802875e-03
-5.499850e-04,  7.427875e-03
-1.237485e-03,  1.177875e-03
-9.249850e-04,  1.490375e-03
-1.424985e-03,  6.802875e-03
-1.737485e-03, -6.971250e-04
-1.112485e-03,  7.115375e-03
-1.549985e-03,  8.653750e-04
-2.049985e-03,  8.677875e-03
